cluster,cluster_size,substitution_reroute,compliance_skipped_under_tariff,stale_quote_slow_pricing,pricing_drift,escalation_loop,random_noise_failure,clean
-1,218,36,32,15,102,53,16,48
0,49,0,0,3,49,0,0,0
1,57,0,0,1,15,0,0,41
2,45,0,0,2,45,0,0,0
3,32,0,0,1,32,0,0,0
4,90,90,0,5,42,0,5,0
5,40,0,0,1,40,0,0,0
6,67,0,0,4,18,0,0,45
7,63,0,0,1,63,0,0,0
8,60,0,0,3,15,0,0,43
9,46,0,0,0,12,0,0,34
10,44,0,0,4,44,0,0,0
11,54,0,0,1,54,0,0,0
12,43,0,0,0,10,0,0,33
13,59,0,0,1,59,0,0,0
14,42,0,0,4,13,0,0,25
15,39,0,0,1,9,0,0,29
16,35,0,0,1,3,0,0,31
17,52,0,0,1,52,0,0,0
18,45,0,0,2,17,0,0,26
19,29,0,0,2,29,0,0,0
20,46,0,0,0,11,0,0,35
21,42,0,0,1,16,0,0,26
22,62,0,0,2,25,0,0,36
23,55,0,0,0,55,0,0,0
24,51,0,0,3,51,0,0,0
25,40,0,0,3,21,0,1,17
26,54,0,0,1,54,0,0,0
27,63,0,0,1,63,0,0,0
28,58,0,18,2,20,0,2,29
29,42,0,0,2,13,0,0,28
30,50,0,0,2,11,0,0,37
31,37,0,37,2,25,0,4,0
32,30,0,0,1,8,0,0,22
33,39,0,0,1,39,0,0,0
34,51,0,0,2,18,0,0,32
35,55,0,0,1,10,0,0,44
36,33,0,0,1,12,0,0,21
37,55,0,0,1,55,0,0,0
38,25,0,0,1,10,0,0,15
39,34,0,0,1,5,0,0,28
40,49,0,0,2,11,0,0,36
41,56,0,0,1,14,0,0,41
42,33,0,0,0,7,0,0,26
43,51,0,0,5,20,0,0,27
44,53,0,0,0,12,0,0,41
45,39,0,0,0,13,0,0,26
46,48,0,0,3,9,0,0,37
47,44,0,0,1,11,0,0,32
48,37,0,0,3,9,0,0,27
49,26,0,0,1,5,0,0,20
50,34,0,11,0,20,0,5,7
51,34,0,0,1,9,0,0,25
52,23,0,0,0,9,0,0,14
53,30,0,0,1,30,0,0,0
54,41,0,0,3,8,0,0,30
55,46,0,0,0,46,0,0,0
56,42,0,0,0,8,0,0,34
57,27,0,0,0,27,0,0,0
58,20,0,0,1,20,0,0,0
59,36,0,0,2,11,0,0,23
60,38,0,0,3,11,0,0,26
61,66,0,0,1,20,0,0,46
62,35,0,35,1,18,0,2,0
63,30,0,0,0,30,0,0,0
64,29,0,0,0,3,0,0,26
65,36,0,0,1,18,0,0,18
66,43,0,0,1,15,0,0,27
67,24,0,0,2,7,0,0,17
68,29,0,29,1,16,0,1,0
69,35,0,0,2,11,0,0,22
70,39,0,0,0,20,0,8,14
71,24,0,0,2,16,0,3,7
72,37,0,0,1,15,0,0,21
73,57,0,0,8,26,0,6,22
74,52,0,0,3,31,0,4,19
75,35,0,0,1,19,0,2,15
76,41,0,0,3,12,0,0,26
77,32,0,0,2,6,0,0,25
78,39,0,0,3,23,0,39,0
79,23,23,0,1,23,0,1,0
80,37,0,0,1,37,0,0,0
81,36,0,0,1,36,0,0,0
82,53,0,0,1,30,0,23,14
83,63,63,1,2,29,0,8,0
84,33,33,0,0,8,0,0,0
85,37,0,0,1,9,0,0,28
86,36,0,0,0,22,36,2,0
87,22,0,0,3,12,0,0,7
88,45,0,0,3,40,0,15,0
89,53,0,0,0,31,0,1,21
90,30,0,2,2,14,30,2,0
91,24,0,0,0,11,24,1,0
92,33,0,0,2,33,0,0,0
93,39,0,0,1,17,0,3,22
94,50,0,0,1,50,0,1,0
95,22,22,0,0,22,0,0,0
96,30,0,0,0,27,0,1,3
97,24,0,0,0,4,0,1,19
98,41,0,0,1,8,0,0,32
99,32,0,0,0,18,0,0,14
100,33,0,0,3,17,0,33,0
101,41,0,0,4,26,0,1,13
102,26,0,0,2,9,0,0,16
103,36,0,0,0,14,0,9,18
104,47,0,0,10,24,0,3,17
105,34,0,0,1,17,0,1,16
106,20,0,0,1,20,0,20,0
107,38,0,0,5,11,0,22,10
108,43,0,0,0,20,0,43,0
109,33,33,0,1,9,0,0,0
110,55,0,6,2,28,0,5,21
111,37,34,0,1,26,0,4,2
112,48,44,48,3,20,0,3,0
113,28,28,28,0,28,0,1,0
114,21,0,0,0,5,0,0,16
115,21,0,0,0,21,0,0,0
116,23,0,0,1,19,0,1,4
117,32,0,0,1,10,0,8,16
