cluster,case_type,count,p_cluster_given_case,p_cluster,lift
-1,custom_configuration,13,0.020186335403726708,0.0436,0.4629893441221722
-1,expedited_delivery,19,0.020856201975850714,0.0436,0.4783532563268512
-1,regulated_export,56,0.07977207977207977,0.0436,1.829634857157793
-1,standard_build,66,0.03136882129277566,0.0436,0.7194683782746711
-1,supplier_substitution,64,0.10015649452269171,0.0436,2.2971673055663238
0,standard_build,49,0.02328897338403042,0.0098,2.376425855513308
1,regulated_export,57,0.0811965811965812,0.0114,7.122507122507122
2,standard_build,45,0.02138783269961977,0.009,2.376425855513308
3,regulated_export,32,0.045584045584045586,0.0064,7.122507122507122
4,supplier_substitution,90,0.14084507042253522,0.018,7.8247261345852905
5,custom_configuration,40,0.062111801242236024,0.008,7.763975155279502
6,regulated_export,67,0.09544159544159544,0.0134,7.122507122507122
7,standard_build,63,0.02994296577946768,0.0126,2.376425855513308
8,custom_configuration,60,0.09316770186335403,0.012,7.763975155279502
9,standard_build,46,0.021863117870722433,0.0092,2.376425855513308
10,standard_build,44,0.02091254752851711,0.0088,2.3764258555133075
11,custom_configuration,54,0.08385093167701864,0.0108,7.763975155279503
12,expedited_delivery,43,0.04720087815587267,0.0086,5.488474204171241
13,standard_build,59,0.028041825095057035,0.0118,2.376425855513308
14,regulated_export,42,0.05982905982905983,0.0084,7.122507122507123
15,standard_build,39,0.0185361216730038,0.0078,2.376425855513308
16,standard_build,35,0.016634980988593156,0.007,2.376425855513308
17,expedited_delivery,52,0.0570801317233809,0.0104,5.488474204171241
18,standard_build,45,0.02138783269961977,0.009,2.376425855513308
19,standard_build,29,0.013783269961977186,0.0058,2.376425855513308
20,standard_build,46,0.021863117870722433,0.0092,2.376425855513308
21,standard_build,42,0.019961977186311788,0.0084,2.3764258555133084
22,standard_build,62,0.029467680608365018,0.0124,2.376425855513308
23,standard_build,55,0.02614068441064639,0.011,2.3764258555133084
24,standard_build,51,0.02423954372623574,0.0102,2.3764258555133075
25,custom_configuration,40,0.062111801242236024,0.008,7.763975155279502
26,standard_build,54,0.025665399239543727,0.0108,2.376425855513308
27,standard_build,63,0.02994296577946768,0.0126,2.376425855513308
28,expedited_delivery,58,0.06366630076838639,0.0116,5.488474204171241
29,standard_build,42,0.019961977186311788,0.0084,2.3764258555133084
30,standard_build,50,0.02376425855513308,0.01,2.376425855513308
31,standard_build,37,0.01758555133079848,0.0074,2.376425855513308
32,standard_build,30,0.014258555133079848,0.006,2.376425855513308
33,expedited_delivery,39,0.042810098792535674,0.0078,5.488474204171241
34,standard_build,51,0.02423954372623574,0.0102,2.3764258555133075
35,standard_build,55,0.02614068441064639,0.011,2.3764258555133084
36,expedited_delivery,33,0.036223929747530186,0.0066,5.48847420417124
37,regulated_export,55,0.07834757834757834,0.011,7.122507122507122
38,expedited_delivery,25,0.027442371020856202,0.005,5.48847420417124
39,expedited_delivery,34,0.03732162458836443,0.0068,5.48847420417124
40,standard_build,49,0.02328897338403042,0.0098,2.376425855513308
41,custom_configuration,56,0.08695652173913043,0.0112,7.763975155279503
42,regulated_export,33,0.04700854700854701,0.0066,7.122507122507122
43,standard_build,51,0.02423954372623574,0.0102,2.3764258555133075
44,custom_configuration,53,0.08229813664596274,0.0106,7.763975155279503
45,regulated_export,39,0.05555555555555555,0.0078,7.122507122507122
46,expedited_delivery,48,0.052689352360043906,0.0096,5.488474204171241
47,standard_build,44,0.02091254752851711,0.0088,2.3764258555133075
48,standard_build,37,0.01758555133079848,0.0074,2.376425855513308
49,standard_build,26,0.012357414448669201,0.0052,2.376425855513308
50,custom_configuration,34,0.052795031055900624,0.0068,7.763975155279504
51,custom_configuration,34,0.052795031055900624,0.0068,7.763975155279504
52,custom_configuration,23,0.03571428571428571,0.0046,7.763975155279502
53,expedited_delivery,30,0.03293084522502744,0.006,5.48847420417124
54,expedited_delivery,41,0.04500548847420417,0.0082,5.48847420417124
55,expedited_delivery,46,0.050493962678375415,0.0092,5.488474204171241
56,expedited_delivery,42,0.04610318331503842,0.0084,5.488474204171241
57,expedited_delivery,27,0.029637760702524697,0.0054,5.48847420417124
58,expedited_delivery,20,0.021953896816684963,0.004,5.488474204171241
59,standard_build,36,0.017110266159695818,0.0072,2.376425855513308
60,standard_build,38,0.01806083650190114,0.0076,2.376425855513308
61,standard_build,66,0.03136882129277566,0.0132,2.376425855513308
62,standard_build,35,0.016634980988593156,0.007,2.376425855513308
63,standard_build,30,0.014258555133079848,0.006,2.376425855513308
64,standard_build,29,0.013783269961977186,0.0058,2.376425855513308
65,standard_build,36,0.017110266159695818,0.0072,2.376425855513308
66,standard_build,43,0.02043726235741445,0.0086,2.376425855513308
67,standard_build,24,0.011406844106463879,0.0048,2.3764258555133084
68,expedited_delivery,29,0.031833150384193196,0.0058,5.488474204171241
69,regulated_export,35,0.04985754985754986,0.007,7.122507122507122
70,expedited_delivery,39,0.042810098792535674,0.0078,5.488474204171241
