cluster,agent,n_traces_with_agent,n_traces_with_focus,proximity,frequency,graph_connectivity,role_relevance,suspect_score
4,orchestrator,5,5,0.4666666666666667,0.42000000000000004,0.8333333333333334,0.5,0.5293333333333333
4,release,5,5,0.7,0.13999999999999999,0.16666666666666666,1.0,0.45533333333333326
4,compliance,5,5,0.4600000000000001,0.13999999999999999,0.16666666666666666,1.0,0.3593333333333334
4,scheduling,5,5,0.25,0.1,0.16666666666666666,1.0,0.2633333333333333
4,factory,5,5,0.16666666666666666,0.1,0.16666666666666666,1.0,0.23
4,supply,5,5,0.125,0.1,0.16666666666666666,1.0,0.21333333333333335
10,orchestrator,44,44,0.5,0.5,0.8333333333333333,0.5,0.5666666666666667
10,release,44,44,1.0,0.1,0.16666666666666677,1.0,0.5633333333333334
10,scheduling,44,44,0.33333333333333354,0.1,0.16666666666666677,1.0,0.29666666666666675
10,supply,44,44,0.2,0.1,0.16666666666666677,1.0,0.24333333333333337
10,compliance,44,44,0.14285714285714296,0.1,0.16666666666666677,1.0,0.22047619047619055
10,pricing,44,44,0.11111111111111106,0.1,0.16666666666666677,1.0,0.20777777777777778
25,orchestrator,4,4,0.41666666666666663,0.44999999999999996,0.8333333333333334,0.5,0.5183333333333333
25,release,4,4,0.75,0.1,0.16666666666666666,1.0,0.4633333333333334
25,scheduling,4,4,0.47916666666666663,0.125,0.16666666666666666,1.0,0.36250000000000004
25,pricing,4,4,0.3305555555555556,0.125,0.16666666666666666,1.0,0.3030555555555556
25,supply,4,4,0.18333333333333332,0.1,0.16666666666666666,1.0,0.23666666666666666
25,compliance,4,4,0.13392857142857142,0.1,0.16666666666666666,1.0,0.2169047619047619
28,factory,1,2,1.0,0.1111111111111111,0.0,1.0,0.5333333333333333
28,release,2,2,0.75,0.16666666666666666,0.16666666666666666,1.0,0.4833333333333334
28,orchestrator,2,2,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5,0.45
28,scheduling,2,2,0.25,0.1111111111111111,0.16666666666666666,1.0,0.26666666666666666
28,supply,2,2,0.16666666666666666,0.1111111111111111,0.16666666666666666,1.0,0.23333333333333334
28,pricing,2,2,0.125,0.1111111111111111,0.16666666666666666,1.0,0.21666666666666667
31,compliance,2,4,1.0,0.1111111111111111,0.0,1.0,0.5333333333333333
31,orchestrator,4,4,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5,0.45
31,scheduling,4,4,0.625,0.16666666666666666,0.16666666666666666,1.0,0.43333333333333335
31,release,4,4,0.5,0.1111111111111111,0.16666666666666666,1.0,0.3666666666666667
31,supply,4,4,0.16666666666666666,0.1111111111111111,0.16666666666666666,1.0,0.23333333333333334
31,pricing,4,4,0.125,0.1111111111111111,0.16666666666666666,1.0,0.21666666666666667
50,factory,2,5,1.0,0.10555555555555556,0.0,1.0,0.5316666666666667
50,orchestrator,5,5,0.4666666666666666,0.4288888888888889,0.8,0.5,0.5253333333333333
50,release,5,5,0.6,0.12222222222222223,0.16666666666666666,1.0,0.41000000000000003
50,scheduling,5,5,0.4,0.1222222222222222,0.16666666666666666,1.0,0.33
50,supply,5,5,0.16666666666666666,0.10222222222222224,0.16666666666666666,1.0,0.2306666666666667
50,compliance,4,5,0.125,0.1,0.16666666666666666,1.0,0.21333333333333335
50,pricing,5,5,0.10500000000000001,0.10222222222222224,0.16666666666666666,1.0,0.20600000000000002
