cluster,cluster_size,substitution_reroute,compliance_skipped_under_tariff,stale_quote_slow_pricing,pricing_drift,escalation_loop,random_noise_failure,clean
0,109,108,0,0,49,0,7,0
1,348,0,1,0,204,0,11,140
2,13,0,0,13,8,0,1,0
3,171,0,0,0,88,0,9,80
4,166,0,0,0,88,0,9,74
5,105,0,0,0,56,0,1,49
6,11,9,1,0,6,11,1,0
7,78,0,0,0,40,0,1,37
8,6,0,0,6,2,0,0,0
9,19,0,0,0,10,0,1,9
10,26,0,0,0,12,0,2,14
11,413,0,0,0,213,0,31,185
12,21,0,0,0,13,0,1,8
13,39,0,39,0,22,0,2,0
14,4,0,0,4,2,0,1,0
15,13,0,1,0,9,13,1,0
16,26,24,26,0,18,0,1,0
17,3,0,0,3,1,0,0,0
18,17,0,0,17,10,0,0,0
19,104,0,0,0,52,0,4,51
20,6,0,0,6,1,0,0,0
21,25,0,25,0,12,0,2,0
22,15,0,1,0,8,15,1,0
23,10,0,10,0,3,0,2,0
24,13,0,0,0,9,13,0,0
25,16,0,0,0,6,0,16,0
26,7,0,0,7,4,0,1,0
27,15,0,0,0,8,0,0,7
28,18,0,18,0,9,0,0,0
29,7,0,0,7,4,0,1,0
30,94,0,0,0,46,0,4,46
31,7,3,0,7,3,0,0,0
32,24,0,0,0,11,0,1,12
33,103,0,0,0,56,0,9,45
34,9,0,0,0,7,0,9,0
35,10,0,0,0,4,10,0,0
36,25,0,0,0,13,0,2,11
37,5,5,0,5,1,0,0,0
38,7,0,0,7,4,0,1,0
39,8,0,0,0,3,0,8,0
40,2,0,0,2,1,0,0,0
41,2,0,0,2,0,0,0,0
42,1,1,0,1,1,1,0,0
43,55,0,0,0,34,0,1,20
44,5,0,0,0,4,0,5,0
45,157,0,0,0,81,0,10,70
46,3,2,0,0,2,0,3,0
47,3,3,3,3,1,0,0,0
48,9,5,0,0,6,0,0,1
49,48,45,48,0,29,0,3,0
50,294,0,0,0,153,0,15,133
51,71,71,1,0,38,0,4,0
52,9,0,0,9,3,0,0,0
53,3,0,0,3,1,0,0,0
54,3,0,0,3,1,0,1,0
55,2,0,0,2,0,0,0,0
56,2,0,0,2,2,0,0,0
57,91,0,0,0,53,0,6,36
58,32,0,0,0,16,0,17,6
59,1,0,0,1,1,0,0,0
60,10,0,0,10,7,0,0,0
61,91,0,0,0,51,0,5,39
62,1,0,0,1,1,0,0,0
63,4,0,0,0,1,0,0,3
64,3,0,0,3,1,0,0,0
65,21,0,0,0,14,0,0,7
66,1,0,0,1,1,0,1,0
67,9,0,0,9,4,0,0,0
68,2,0,0,2,2,2,0,0
69,436,0,1,0,233,0,25,194
70,1,0,0,1,0,0,0,0
71,2,0,2,2,1,0,0,0
72,36,0,0,0,17,0,3,18
73,159,0,0,0,85,0,9,69
74,2,0,2,2,2,0,0,0
75,5,0,0,5,3,0,0,0
76,16,0,0,0,8,0,0,8
77,7,0,0,0,4,0,0,3
78,10,0,2,0,4,10,1,0
79,3,0,0,0,3,0,1,0
80,2,0,0,2,2,0,0,0
81,14,0,0,0,8,14,0,0
82,9,0,2,0,1,9,0,0
83,198,0,0,0,104,0,12,89
84,5,0,0,0,1,0,0,4
85,20,0,20,0,12,0,1,0
86,1,0,0,1,1,1,0,0
87,145,0,0,0,74,0,10,66
88,2,0,0,2,1,0,0,0
89,3,0,3,0,2,0,0,0
90,9,0,0,9,4,0,0,0
91,1,0,1,1,0,0,0,0
92,155,0,0,0,88,0,7,63
93,4,3,0,4,3,0,0,0
94,24,0,0,0,15,24,1,0
95,114,114,0,0,61,0,4,0
96,22,0,0,0,15,0,0,7
97,126,0,0,0,66,0,0,60
98,7,0,0,7,6,0,1,0
99,28,0,28,0,17,0,2,0
100,5,0,0,5,3,0,0,0
101,1,0,1,1,1,0,0,0
102,3,0,0,3,0,0,2,0
103,74,0,0,0,32,0,3,41
104,1,0,0,0,0,1,0,0
105,18,0,0,0,10,0,2,7
106,1,1,0,0,0,1,0,0
107,1,1,0,1,0,1,0,0
108,3,0,0,3,2,0,0,0
109,2,0,0,2,1,0,0,0
110,69,0,0,0,38,0,2,29
111,23,0,0,0,14,0,1,9
112,6,0,0,0,4,6,1,0
113,2,0,0,0,1,2,0,0
114,8,5,1,0,5,8,2,0
115,10,6,0,0,6,0,2,1
116,3,0,0,3,1,0,1,0
117,1,0,0,1,0,1,0,0
118,138,0,0,0,77,0,5,60
119,4,0,0,4,1,0,1,0
120,10,0,10,0,5,0,0,0
