cluster,case_type,count,p_cluster_given_case,p_cluster,lift
-1,custom_configuration,1,0.0015527950310559005,0.0264,0.058817993600602296
-1,expedited_delivery,38,0.04171240395170143,0.0264,1.5800153012008116
-1,regulated_export,28,0.039886039886039885,0.0264,1.5108348441681776
-1,standard_build,44,0.02091254752851711,0.0264,0.7921419518377693
-1,supplier_substitution,21,0.03286384976525822,0.0264,1.244842794138569
0,standard_build,52,0.024714828897338403,0.0104,2.376425855513308
1,standard_build,42,0.019961977186311788,0.0084,2.3764258555133084
2,standard_build,53,0.025190114068441065,0.0106,2.376425855513308
3,standard_build,56,0.026615969581749048,0.0112,2.376425855513308
4,standard_build,54,0.025665399239543727,0.0108,2.376425855513308
5,expedited_delivery,59,0.06476399560922064,0.0118,5.488474204171241
6,expedited_delivery,35,0.038419319429198684,0.007,5.488474204171241
7,standard_build,53,0.025190114068441065,0.0106,2.376425855513308
8,standard_build,39,0.0185361216730038,0.0078,2.376425855513308
9,standard_build,40,0.019011406844106463,0.008,2.376425855513308
10,expedited_delivery,64,0.07025246981339188,0.0128,5.48847420417124
11,custom_configuration,28,0.043478260869565216,0.0056,7.763975155279503
12,standard_build,27,0.012832699619771864,0.0054,2.376425855513308
13,custom_configuration,33,0.05124223602484472,0.0066,7.763975155279503
14,supplier_substitution,58,0.09076682316118936,0.0116,7.8247261345852905
15,supplier_substitution,24,0.03755868544600939,0.0048,7.8247261345852905
16,standard_build,29,0.013783269961977186,0.0058,2.376425855513308
17,expedited_delivery,50,0.054884742041712405,0.01,5.48847420417124
18,standard_build,44,0.02091254752851711,0.0088,2.3764258555133075
19,standard_build,23,0.010931558935361217,0.0046,2.376425855513308
20,standard_build,31,0.014733840304182509,0.0062,2.376425855513308
21,standard_build,49,0.02328897338403042,0.0098,2.376425855513308
22,supplier_substitution,22,0.03442879499217527,0.0044,7.824726134585289
23,regulated_export,39,0.05555555555555555,0.0078,7.122507122507122
24,regulated_export,50,0.07122507122507123,0.01,7.122507122507122
25,expedited_delivery,27,0.029637760702524697,0.0054,5.48847420417124
26,expedited_delivery,42,0.04610318331503842,0.0084,5.488474204171241
27,expedited_delivery,37,0.04061470911086718,0.0074,5.488474204171241
28,standard_build,45,0.02138783269961977,0.009,2.376425855513308
29,standard_build,36,0.017110266159695818,0.0072,2.376425855513308
30,standard_build,60,0.028517110266159697,0.012,2.376425855513308
31,standard_build,55,0.02614068441064639,0.011,2.3764258555133084
32,standard_build,46,0.021863117870722433,0.0092,2.376425855513308
33,custom_configuration,57,0.08850931677018634,0.0114,7.763975155279502
34,regulated_export,69,0.09829059829059829,0.0138,7.122507122507122
35,custom_configuration,60,0.09316770186335403,0.012,7.763975155279502
36,expedited_delivery,41,0.04500548847420417,0.0082,5.48847420417124
37,expedited_delivery,42,0.04610318331503842,0.0084,5.488474204171241
38,regulated_export,43,0.06125356125356125,0.0086,7.122507122507122
39,standard_build,51,0.02423954372623574,0.0102,2.3764258555133075
40,expedited_delivery,36,0.03951701427003293,0.0072,5.48847420417124
41,custom_configuration,34,0.052795031055900624,0.0068,7.763975155279504
42,supplier_substitution,37,0.057902973395931145,0.0074,7.82472613458529
43,regulated_export,30,0.042735042735042736,0.006,7.122507122507122
44,supplier_substitution,51,0.07981220657276995,0.0102,7.824726134585289
45,custom_configuration,40,0.062111801242236024,0.008,7.763975155279502
46,supplier_substitution,33,0.051643192488262914,0.0066,7.82472613458529
47,expedited_delivery,37,0.04061470911086718,0.0074,5.488474204171241
48,supplier_substitution,38,0.0594679186228482,0.0076,7.82472613458529
49,standard_build,31,0.014733840304182509,0.0062,2.376425855513308
50,standard_build,38,0.01806083650190114,0.0076,2.376425855513308
51,standard_build,36,0.017110266159695818,0.0072,2.376425855513308
52,standard_build,37,0.01758555133079848,0.0074,2.376425855513308
53,expedited_delivery,24,0.026344676180021953,0.0048,5.488474204171241
54,expedited_delivery,45,0.04939626783754116,0.009,5.488474204171241
55,expedited_delivery,38,0.04171240395170143,0.0076,5.488474204171241
56,standard_build,24,0.011406844106463879,0.0048,2.3764258555133084
57,expedited_delivery,20,0.021953896816684963,0.004,5.488474204171241
58,custom_configuration,33,0.05124223602484472,0.0066,7.763975155279503
59,standard_build,44,0.02091254752851711,0.0088,2.3764258555133075
60,standard_build,46,0.021863117870722433,0.0092,2.376425855513308
61,standard_build,74,0.03517110266159696,0.0148,2.376425855513308
62,standard_build,110,0.05228136882129278,0.022,2.3764258555133084
63,standard_build,66,0.03136882129277566,0.0132,2.376425855513308
64,expedited_delivery,56,0.06147091108671789,0.0112,5.488474204171241
65,expedited_delivery,38,0.04171240395170143,0.0076,5.488474204171241
66,supplier_substitution,28,0.04381846635367762,0.0056,7.82472613458529
67,supplier_substitution,48,0.07511737089201878,0.0096,7.8247261345852905
68,standard_build,41,0.019486692015209126,0.0082,2.376425855513308
69,expedited_delivery,32,0.03512623490669594,0.0064,5.48847420417124
70,custom_configuration,37,0.05745341614906832,0.0074,7.763975155279502
71,custom_configuration,43,0.06677018633540373,0.0086,7.763975155279503
72,custom_configuration,32,0.049689440993788817,0.0064,7.763975155279502
73,standard_build,35,0.016634980988593156,0.007,2.376425855513308
74,supplier_substitution,45,0.07042253521126761,0.009,7.8247261345852905
75,supplier_substitution,57,0.0892018779342723,0.0114,7.824726134585289
76,standard_build,39,0.0185361216730038,0.0078,2.376425855513308
77,standard_build,28,0.013307984790874524,0.0056,2.376425855513308
78,expedited_delivery,39,0.042810098792535674,0.0078,5.488474204171241
79,expedited_delivery,33,0.036223929747530186,0.0066,5.48847420417124
80,custom_configuration,34,0.052795031055900624,0.0068,7.763975155279504
81,custom_configuration,34,0.052795031055900624,0.0068,7.763975155279504
82,custom_configuration,31,0.04813664596273292,0.0062,7.763975155279503
