cluster,cluster_size,substitution_reroute,compliance_skipped_under_tariff,stale_quote_slow_pricing,pricing_drift,escalation_loop,random_noise_failure,clean
-1,331,69,26,39,209,23,6,41
0,48,48,0,0,12,0,1,0
1,42,0,0,0,9,0,0,33
2,28,0,0,0,10,0,0,18
3,47,0,0,0,10,0,0,37
4,42,0,0,0,42,0,0,0
5,68,0,0,0,68,0,0,0
6,42,0,0,0,42,0,0,0
7,57,0,0,0,57,0,0,0
8,61,0,0,0,12,0,0,49
9,63,0,0,5,63,0,0,0
10,60,0,0,0,60,0,0,0
11,43,0,0,0,14,0,0,29
12,37,0,0,3,8,0,1,27
13,65,0,0,0,19,0,0,46
14,41,0,0,0,14,0,0,27
15,55,0,0,0,19,0,0,36
16,69,0,0,0,16,0,0,53
17,42,0,0,0,19,0,0,23
18,33,0,0,0,8,0,0,25
19,38,0,0,2,38,0,0,0
20,29,0,29,1,16,0,1,0
21,22,0,0,0,6,0,0,16
22,40,0,0,0,8,0,0,32
23,53,0,0,0,14,0,0,39
24,47,0,0,0,47,0,0,0
25,25,0,0,0,25,0,0,0
26,53,0,0,0,53,0,0,0
27,34,0,0,1,34,0,0,0
28,35,0,0,0,9,0,0,26
29,26,0,0,0,10,0,0,16
30,26,0,0,0,26,0,0,0
31,53,0,0,1,53,0,0,0
32,33,0,0,0,5,0,0,28
33,35,0,0,0,9,0,0,26
34,29,0,0,5,4,0,0,21
35,29,0,0,0,29,0,0,0
36,26,0,0,0,6,0,0,20
37,23,0,0,0,5,0,0,18
38,36,0,0,1,36,0,0,0
39,41,0,0,0,41,0,0,0
40,40,0,0,2,40,0,0,0
41,31,0,0,0,12,0,0,19
42,26,26,26,0,26,0,0,0
43,42,0,0,0,13,0,0,29
44,57,0,0,0,14,0,0,43
45,31,0,0,0,31,0,0,0
46,31,0,0,0,31,0,0,0
47,127,0,0,7,65,0,101,15
48,23,0,0,0,4,0,0,19
49,21,21,21,0,8,0,1,0
50,26,26,26,3,12,0,4,0
51,21,0,0,1,21,0,0,0
52,27,0,0,0,6,0,0,21
53,28,0,0,0,6,0,0,22
54,26,0,0,2,26,0,0,0
55,23,0,0,0,5,0,3,16
56,41,0,0,1,7,0,2,32
57,35,0,0,1,19,0,2,15
58,33,0,0,0,6,0,0,27
59,49,0,0,0,16,0,0,33
60,41,0,0,4,38,0,0,2
61,24,0,0,0,4,0,0,20
62,24,0,0,1,2,0,0,21
63,40,0,0,5,13,0,0,24
64,56,0,0,0,17,0,0,39
65,29,0,0,0,8,0,0,21
66,34,0,0,5,10,0,0,21
67,40,0,0,0,12,0,0,28
68,32,0,0,2,32,0,1,0
69,21,0,0,1,21,0,0,0
70,31,0,0,1,8,0,0,23
71,55,0,0,8,25,0,6,21
72,45,45,0,3,29,0,5,0
73,29,29,0,1,10,0,0,0
74,53,0,0,0,31,0,1,21
75,38,0,0,1,12,0,0,25
76,21,0,21,1,9,0,0,0
77,43,0,43,1,17,0,2,0
78,25,0,25,0,16,0,0,0
79,29,0,0,2,7,0,0,20
80,31,0,0,1,10,0,3,18
81,25,0,0,1,13,0,1,11
82,23,0,0,1,13,0,0,9
83,26,0,0,3,9,0,0,16
84,51,0,1,1,38,0,6,9
85,25,0,10,0,10,0,4,13
86,36,0,0,1,22,0,36,0
87,20,0,0,3,20,0,3,0
88,23,0,0,0,23,0,0,0
89,31,0,0,1,8,0,2,21
90,37,0,0,1,28,0,2,7
91,52,0,0,0,13,0,0,39
92,44,0,11,0,23,0,5,14
93,35,0,0,1,23,0,3,11
94,36,0,0,0,15,0,0,21
95,54,0,0,0,16,0,0,38
96,33,0,0,0,7,0,0,26
97,30,0,0,0,10,0,0,20
98,32,32,0,0,32,0,0,0
99,39,0,0,0,6,0,0,33
100,23,0,0,0,7,0,0,16
101,31,0,0,0,4,0,0,27
102,35,0,0,0,12,0,0,23
103,44,0,0,4,44,0,0,0
104,31,0,0,2,31,0,0,0
105,23,0,0,0,4,0,0,19
106,84,0,0,4,40,0,29,31
107,43,0,0,2,30,0,2,12
108,24,0,0,2,16,0,3,7
109,49,0,2,1,25,2,8,16
110,20,0,0,1,3,0,0,16
111,26,0,0,26,7,0,0,0
112,27,0,0,0,9,0,0,18
113,27,0,0,3,18,0,10,3
114,23,0,0,1,17,0,1,6
115,41,0,1,2,21,41,3,0
116,28,0,0,5,11,0,0,14
117,26,0,0,4,26,0,0,0
118,22,0,0,1,4,0,1,17
119,25,25,0,1,24,0,0,0
120,30,0,0,2,11,0,2,17
121,35,0,0,3,17,0,35,0
122,60,0,3,2,36,60,5,0
123,85,85,2,4,36,17,10,0
