cluster,agent,n_traces_with_agent,n_traces_with_focus,proximity,frequency,graph_connectivity,role_relevance,suspect_score
0,supply,1,1,1.0,0.2,0.16666666666666666,1.0,0.5933333333333334
0,orchestrator,1,1,0.3333333333333333,0.4,0.8333333333333334,0.5,0.47
0,release,1,1,0.5,0.1,0.16666666666666666,1.0,0.3633333333333334
0,scheduling,1,1,0.25,0.1,0.16666666666666666,1.0,0.2633333333333333
0,factory,1,1,0.16666666666666666,0.1,0.16666666666666666,1.0,0.23
0,compliance,1,1,0.1,0.1,0.16666666666666666,1.0,0.20333333333333334
12,factory,1,1,1.0,0.1,0.0,1.0,0.53
12,orchestrator,1,1,0.25,0.4,0.6666666666666666,0.5,0.4033333333333333
12,scheduling,1,1,0.5,0.2,0.16666666666666666,1.0,0.3933333333333333
12,release,1,1,0.3333333333333333,0.1,0.16666666666666666,1.0,0.29666666666666663
12,supply,1,1,0.14285714285714285,0.1,0.16666666666666666,1.0,0.22047619047619046
12,compliance,1,1,0.1111111111111111,0.1,0.16666666666666666,1.0,0.20777777777777778
20,orchestrator,1,1,1.0,0.5555555555555556,0.6666666666666666,0.5,0.75
20,release,1,1,0.5,0.1111111111111111,0.16666666666666666,1.0,0.3666666666666667
20,scheduling,1,1,0.25,0.1111111111111111,0.16666666666666666,1.0,0.26666666666666666
20,supply,1,1,0.16666666666666666,0.1111111111111111,0.16666666666666666,1.0,0.23333333333333334
20,pricing,1,1,0.125,0.1111111111111111,0.16666666666666666,1.0,0.21666666666666667
47,factory,13,114,1.0,0.1,0.0,1.0,0.53
47,orchestrator,114,114,0.4144736842105268,0.4122807017543852,0.8289473684210518,0.5,0.5052631578947366
47,release,114,114,0.5584795321637427,0.11228070175438576,0.16666666666666663,1.0,0.3904093567251461
47,scheduling,114,114,0.4144736842105263,0.12368421052631555,0.16666666666666663,1.0,0.33622807017543854
47,supply,114,114,0.29761904761904767,0.11578947368421029,0.16666666666666663,1.0,0.2871177944862155
47,compliance,114,114,0.24744152046783624,0.11403508771929803,0.16666666666666663,1.0,0.26652046783625727
47,pricing,111,114,0.22162162162162197,0.1135135135135133,0.1666666666666666,1.0,0.2560360360360361
49,pricing,1,1,1.0,0.2,0.16666666666666666,1.0,0.5933333333333334
49,orchestrator,1,1,0.3333333333333333,0.4,0.8333333333333334,0.5,0.47
49,release,1,1,0.5,0.1,0.16666666666666666,1.0,0.3633333333333334
49,scheduling,1,1,0.25,0.1,0.16666666666666666,1.0,0.2633333333333333
49,factory,1,1,0.16666666666666666,0.1,0.16666666666666666,1.0,0.23
49,supply,1,1,0.125,0.1,0.16666666666666666,1.0,0.21333333333333335
50,compliance,1,4,1.0,0.1,0.0,1.0,0.53
