cluster,cluster_size,substitution_reroute,compliance_skipped_under_tariff,stale_quote_slow_pricing,pricing_drift,escalation_loop,random_noise_failure,clean
-1,221,24,26,37,120,0,7,52
0,56,0,0,0,17,0,0,39
1,23,0,0,0,23,0,0,0
2,36,0,0,0,36,0,0,0
3,26,26,26,0,26,0,0,0
4,29,0,29,1,16,0,1,0
5,64,0,0,0,64,0,0,0
6,62,0,0,0,15,0,0,47
7,52,0,0,0,13,0,0,39
8,37,0,0,1,37,0,0,0
9,30,0,0,0,6,0,0,24
10,40,0,0,0,11,0,0,29
11,74,0,0,0,74,0,0,0
12,26,0,0,0,26,0,0,0
13,35,0,0,0,35,0,0,0
14,41,0,0,0,41,0,0,0
15,29,0,0,0,29,0,0,0
16,40,0,0,2,40,0,0,0
17,53,0,0,1,53,0,0,0
18,20,20,0,1,7,0,0,0
19,46,46,0,2,30,0,5,0
20,33,0,0,0,5,0,0,28
21,36,0,0,1,36,0,0,0
22,38,0,0,2,38,0,0,0
23,38,0,0,0,38,0,0,0
24,29,0,0,0,7,0,0,22
25,31,0,0,0,5,0,0,26
26,40,0,0,0,40,0,0,0
27,63,0,0,5,63,0,0,0
28,61,0,0,5,19,0,0,39
29,35,0,0,0,11,0,0,24
30,65,0,0,0,24,0,0,41
31,54,0,0,0,18,0,0,36
32,39,0,0,0,12,0,0,27
33,28,0,0,5,11,0,0,14
34,20,0,0,1,3,0,0,16
35,22,0,0,1,4,0,1,17
36,30,0,0,0,30,0,0,0
37,26,0,0,4,26,0,0,0
38,62,0,0,0,14,0,0,48
39,31,0,0,0,31,0,0,0
40,31,0,0,0,4,0,0,27
41,29,0,0,1,11,0,1,17
42,36,0,0,4,17,0,36,0
43,38,0,0,1,12,0,0,25
44,29,0,0,5,4,0,0,21
45,32,0,0,2,32,0,1,0
46,26,0,0,26,7,0,0,0
47,26,0,0,3,9,0,0,16
48,51,0,1,1,38,0,6,9
49,41,0,0,4,38,0,0,2
50,24,0,0,0,4,0,0,20
51,35,0,0,0,10,0,0,25
52,34,0,11,0,20,0,5,7
53,42,0,0,0,19,0,0,23
54,53,0,0,0,19,0,0,34
55,40,0,0,0,12,0,0,28
56,34,0,0,5,10,0,0,21
57,56,0,0,0,16,0,0,40
58,34,0,0,0,10,0,0,24
59,32,0,0,0,10,0,0,22
60,42,0,0,0,12,0,0,30
61,29,0,0,0,9,0,0,20
62,64,0,0,0,23,0,0,41
63,44,0,0,4,44,0,0,0
64,46,0,0,0,12,0,0,34
65,42,0,0,0,42,0,0,0
66,31,0,0,1,8,0,0,23
67,31,0,0,0,12,0,0,19
68,39,0,0,0,8,0,0,31
69,36,0,0,0,11,0,0,25
70,33,0,0,0,8,0,0,25
71,35,0,0,0,6,0,0,29
72,34,0,0,1,34,0,0,0
73,47,0,47,1,25,0,2,0
74,31,0,0,1,8,0,2,21
75,42,0,2,0,28,0,2,13
76,23,0,0,0,3,0,0,20
77,24,0,0,0,7,0,0,17
78,26,0,0,2,26,0,0,0
79,34,0,0,3,8,0,0,23
80,23,0,0,0,5,0,3,16
81,41,0,0,1,7,0,2,32
82,22,0,0,1,15,0,22,0
83,21,0,21,0,14,0,1,0
84,29,0,29,1,10,0,1,0
85,49,0,0,0,13,0,0,36
86,60,0,0,0,60,0,0,0
87,31,0,0,2,31,0,0,0
88,26,0,0,3,19,0,1,6
89,22,0,0,0,15,0,10,3
90,23,0,0,0,5,0,0,18
91,27,0,0,0,9,0,0,18
92,65,47,47,3,21,0,5,17
93,33,0,0,0,6,0,0,27
94,48,0,0,0,14,0,0,34
95,21,0,0,4,6,0,2,11
96,75,0,0,2,40,0,75,0
97,36,0,0,0,8,0,0,28
98,48,48,0,0,12,0,1,0
99,48,0,0,2,26,0,1,20
100,35,0,0,1,23,0,3,11
101,28,0,0,0,21,0,0,7
102,53,0,0,0,31,0,1,21
103,53,0,0,8,12,0,0,34
104,49,6,0,3,36,0,2,12
105,35,0,0,1,19,0,2,15
106,23,0,0,0,23,0,0,0
107,41,0,1,2,21,41,3,0
108,37,0,0,3,8,0,1,27
109,23,0,0,0,4,0,0,19
110,80,0,0,2,49,0,31,20
111,24,0,0,1,2,0,0,21
112,21,0,0,1,21,0,0,0
113,24,0,0,2,16,0,3,7
114,49,0,2,1,25,2,8,16
115,32,32,0,0,32,0,0,0
116,240,157,5,9,125,100,16,0
117,41,0,0,3,20,0,6,17
118,31,0,0,1,10,0,3,18
119,36,0,0,1,22,0,36,0
120,20,0,0,3,20,0,3,0
